"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"da7cd6c9a2fc7d0614bd5da03bf1e644","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Microbacteriaceae"," g__Curtobacterium",NA
"a0d03ba5342c2c82ac244c0c5ef28b92","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"dfb4b23d1c7a0f30f1f79476f50201e0","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Pseudomonadales"," f__Moraxellaceae"," g__Acinetobacter",NA
"afb2f933b8a01130b7a8ad25a89d7ac7","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Rhizobiaceae"," g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"21be5a6f359851b100153b2f23f41f4a","d__Bacteria"," p__Bacteroidota"," c__Bacteroidia"," o__Flavobacteriales"," f__Flavobacteriaceae"," g__Flavobacterium"," s__Flavobacterium_johnsoniae"
"20a3dff2e8b04a513c343ba79dadec94","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Rhodanobacteraceae"," g__Dyella"," s__Dyella_marensis"
"f4d390a1eec4fb988b1595fc8590adb4","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Microbacteriaceae"," g__Curtobacterium",NA
"90076bc22c0ec7c1e624cb051b9049d4","d__Bacteria"," p__Proteobacteria"," c__Alphaproteobacteria"," o__Rhizobiales"," f__Rhizobiaceae"," g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"5d32eb005c16ebd47c3cf5d210b842d1","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Micrococcales"," f__Micrococcaceae"," g__Paenarthrobacter",NA
"c10f59e60de49d0cd4c3c8dac532c479","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Ralstonia",NA
"c31be2c7184ec38f2ed5ca452b90cdce","d__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Bacillales"," f__Bacillaceae"," g__Bacillus",NA
"2a912300a70f985f2df786cb0dd145dd","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Xanthomonadales"," f__Xanthomonadaceae"," g__Stenotrophomonas",NA
"f7f304664dddd3e8b3c3be217507c9bd","d__Bacteria"," p__Actinobacteriota"," c__Actinobacteria"," o__Streptomycetales"," f__Streptomycetaceae"," g__Streptomyces",NA
"12b8d9bb639c758338b0b1b57718ecf0","d__Bacteria"," p__Proteobacteria"," c__Gammaproteobacteria"," o__Burkholderiales"," f__Burkholderiaceae"," g__Burkholderia-Caballeronia-Paraburkholderia"," s__Paraburkholderia_caledonica"
