# Constructed from biom file
ASVID	A50P1R1	A50P1R2	A50P1R3	A625P1R1	A625P1R2	A625P1R3	SCR1	SCR2	SCR3	SoilR1	SoilR2	SoilR3
da7cd6c9a2fc7d0614bd5da03bf1e644	11400.0	4084.0	7734.0	1751.0	8746.0	2019.0	4317.0	3963.0	4472.0	0.0	0.0	0.0
a0d03ba5342c2c82ac244c0c5ef28b92	0.0	0.0	0.0	0.0	0.0	0.0	14145.0	11049.0	13722.0	196.0	131.0	215.0
dfb4b23d1c7a0f30f1f79476f50201e0	9115.0	3916.0	4457.0	1176.0	5516.0	1841.0	3697.0	2805.0	3382.0	0.0	0.0	0.0
afb2f933b8a01130b7a8ad25a89d7ac7	67.0	1046.0	64.0	8793.0	8051.0	7634.0	831.0	796.0	613.0	0.0	0.0	0.0
21be5a6f359851b100153b2f23f41f4a	0.0	0.0	0.0	0.0	0.0	0.0	8761.0	7886.0	10162.0	0.0	0.0	0.0
20a3dff2e8b04a513c343ba79dadec94	5661.0	4153.0	3887.0	1018.0	7572.0	2626.0	460.0	599.0	669.0	0.0	0.0	0.0
f4d390a1eec4fb988b1595fc8590adb4	5151.0	1680.0	3417.0	567.0	2907.0	707.0	2743.0	2789.0	3096.0	0.0	0.0	0.0
90076bc22c0ec7c1e624cb051b9049d4	77.0	596.0	123.0	4079.0	7870.0	4942.0	1252.0	1193.0	1200.0	0.0	0.0	0.0
5d32eb005c16ebd47c3cf5d210b842d1	74.0	2990.0	0.0	2691.0	6995.0	3646.0	912.0	701.0	757.0	0.0	0.0	0.0
c10f59e60de49d0cd4c3c8dac532c479	908.0	1369.0	808.0	1124.0	2658.0	1430.0	1103.0	839.0	869.0	0.0	0.0	0.0
c31be2c7184ec38f2ed5ca452b90cdce	0.0	0.0	0.0	0.0	0.0	0.0	3593.0	2840.0	3116.0	0.0	0.0	15.0
2a912300a70f985f2df786cb0dd145dd	12.0	101.0	0.0	202.0	199.0	166.0	2506.0	2308.0	2832.0	0.0	0.0	0.0
f7f304664dddd3e8b3c3be217507c9bd	0.0	0.0	1811.0	0.0	0.0	0.0	1806.0	1380.0	1574.0	123.0	87.0	136.0
12b8d9bb639c758338b0b1b57718ecf0	0.0	0.0	0.0	0.0	0.0	0.0	2284.0	1638.0	1355.0	0.0	0.0	0.0
99cf1750a54711e2bce46394da8df914	0.0	0.0	0.0	0.0	0.0	0.0	1746.0	1653.0	1718.0	36.0	0.0	0.0
51521b7c26313e7b8b723e84094d17ed	4.0	37.0	0.0	290.0	136.0	227.0	1413.0	890.0	1123.0	0.0	0.0	0.0
22c76bdd01c7212aba6d65cffcb9d6fc	720.0	378.0	443.0	278.0	266.0	371.0	529.0	537.0	528.0	0.0	0.0	0.0
f3209ec09158a6212f1aaa2827a3bc84	0.0	0.0	0.0	0.0	0.0	0.0	1467.0	1174.0	1351.0	0.0	0.0	0.0
