Kingdom	Phylum	Class	Order	Family	Genus	Species	ID
Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter sp. 131MFCol6.1	SynComSL001
Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Micrococcaceae	 Arthrobacter	 Arthrobacter sp. 161MFSha2.1	SynComSL002
Bacteria	 Actinobacteria	 Actinomycetia	 Micrococcales	 Microbacteriaceae	 Curtobacterium	 Curtobacterium sp. 314Chir4.1	SynComSL003
Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. 303MFCol5.2	SynComSL004
Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Mycobacteriaceae	 Mycobacterium	 Mycobacterium sp. UNC267MFSha1.1M11	SynComSL005
Bacteria	 Actinobacteria	 Actinomycetia	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	 Rhodococcus sp. 29MFTsu3.1	SynComSL006
Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces canus 299MFChir4.1	SynComSL007
Bacteria	 Actinobacteria	 Actinomycetia	 Propionibacteriales	 Nocardioidaceae	 Nocardioides	 Nocardioides sp. UNC345MFTsu5.1	SynComSL008
Bacteria	 Actinobacteria	 Actinomycetia	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Streptomyces sp. UNC401CLCol	SynComSL009
Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Brevundimonas	 Brevundimonas sp. 374	SynComSL010
Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Rhizobiaceae	 Agrobacterium	 Agrobacterium sp. 33MFTa1.1	SynComSL011
Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Methylobacteriaceae	 Methylobacterium	 Methylobacterium sp. 285MFTsu5.1	SynComSL012
Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Brucellaceae	 Ochrobactrum	 Ochrobactrum sp. 370MFChir3.1	SynComSL013
Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Rhizobiaceae	 Rhizobium	 Rhizobium sp. 2MFCol3.1	SynComSL014
Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 Phyllobacterium sp. UNC302MFCol5.2	SynComSL015
Bacteria	 Proteobacteria	 Alphaproteobacteria	 Hyphomicrobiales	 Boseaceae	 Bosea	 Bosea sp. UNC402CLCol	SynComSL016
Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Weeksellaceae	 Chryseobacterium	 Chryseobacterium sp. UNC8MFCol	SynComSL017
Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 Flavobacterium sp. 40S8	SynComSL018
Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Weeksellaceae	 Chryseobacterium	 Chryseobacterium sp. RU37D	SynComSL019
Bacteria	 Bacteroidetes	 Flavobacteriia	 Flavobacteriales	 Weeksellaceae	 Chryseobacterium	 Chryseobacterium sp. RU33C	SynComSL020
Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 Burkholderia CL11	SynComSL021
