qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	Keep
00f83163148b419e06df1fcc29afb012	105	99.275	276	2	0	2	277	514	789	4.43E-144	499	v
0a0ff828fb72efcb57bea6d85705f021	327	100	409	0	0	1	409	341	749	0	756	v
0a63a7d2543ae3e831c8991888bee0e1	327	99.756	409	1	0	1	409	341	749	0	750	v
0a8f178dfb8da47b79d1197d09388268	273	100	409	0	0	1	409	406	814	0	756	v
12b8d9bb639c758338b0b1b57718ecf0	376	100	429	0	0	1	429	339	767	0	793	v
13b1eda47a2b93d1d45e7bb10dd412b1	339	100	409	0	0	1	409	313	721	0	756	v
1a7a971d3bcf21592d1ebabf35d100fd	374	100	404	0	0	1	404	297	700	0	747	v
20a3dff2e8b04a513c343ba79dadec94	79	100	429	0	0	1	429	343	771	0	793	v
21be5a6f359851b100153b2f23f41f4a	40	99.292	424	1	2	1	424	336	757	0	765	v
22c76bdd01c7212aba6d65cffcb9d6fc	138	100	429	0	0	1	429	337	765	0	793	v
25ae649a4a81db6936d2ff67e76613de	181	98.832	428	5	0	1	428	349	776	0	763	v
277b00acce306ed23f2e6f0328920b63	362	99.756	409	1	0	1	409	340	748	0	750	v
2e91408260c032bf7b2b0590f57785de	374	99.296	426	1	1	1	426	297	720	0	769	v
3077f6f8402ecd8f689962a848a4b6aa	360	100	409	0	0	1	409	334	742	0	756	v
401722a9ab93aaade00120d7ad0bc1fc	50	99.659	293	1	0	132	424	448	740	5.27E-155	536	v
431ad274211ed45798fc0ae4775d935b	181	98.364	428	7	0	1	428	349	776	0	752	v
47dca9a03b89a72e19bad7ffcf5313ed	41	99.767	429	1	0	1	429	360	788	0	787	v
4929313483be54c04536c40c13cf8d8f	50	99.302	430	1	2	1	429	312	740	0	776	v
51521b7c26313e7b8b723e84094d17ed	8	100	424	0	0	1	424	337	760	0	784	v
57f19e7de54d4ee065d4c547447d9e96	2	99.527	423	1	1	2	424	296	717	0	769	v
596284f30f6dd7cfbbce29bece0a5ebe	CL14	100	429	0	0	1	429	343	771	0	793	v
5c39fe87afcd0297cf9ea946f4264422	40	98.639	441	4	2	1	441	319	757	0	780	v
5d32eb005c16ebd47c3cf5d210b842d1	161	100	409	0	0	1	409	335	743	0	756	v
61b01ae8a7e4f1280f2edaa92368f637	40	97.068	307	9	0	98	404	451	757	1.82E-149	518	v
666bd685546bcb573cc22a580883080e	CL18	100	409	0	0	1	409	334	742	0	756	v
6aaa2f1089aa3cb823a23edf1c623ca0	376	99.675	308	1	0	97	404	460	767	2.30E-163	564	v
6d26fdc347418dd6323ed01ad56d3a82	41	99.767	429	1	0	1	429	360	788	0	787	v
74a5ef8319c6caee01d48c00fe3e0513	105	99.553	447	2	0	1	447	343	789	0	815	v
7ae3285d4680f3f466084ab60d51b136	109	99.674	307	1	0	123	429	443	749	8.81E-163	562	v
83eea7ede2e6b425b64784c49b69b1ca	302	100	404	0	0	1	404	414	817	0	747	v
85f94ff05110b4a648f5838b890ea7de	181	97.539	447	9	2	1	447	332	776	0	763	v
90076bc22c0ec7c1e624cb051b9049d4	2	100	403	0	0	2	404	296	698	0	745	v
93736db9f90ad8163fb33740f5439e3d	8	99.317	293	2	0	137	429	468	760	2.48E-153	531	v
99cf1750a54711e2bce46394da8df914	41	100	429	0	0	1	429	360	788	0	793	v
9a3e272dbc1c0a2fe70f3b19e1f33110	109	100	409	0	0	1	409	341	749	0	756	v
a0623c9d9225f9a0cca26148cbbee7ff	181	99.299	428	3	0	1	428	349	776	0	774	v
a0d03ba5342c2c82ac244c0c5ef28b92	105	100	430	0	0	1	430	360	789	0	795	v
a0d815108097f88a9f96203f4e5af0d5	109	100	236	0	0	1	236	341	576	3.09E-125	436	v
ab6a2446d56f9061879d8896e64f1a45	303	99.512	410	0	2	1	409	336	744	0	745	v
ab88f4965a438fe8edad0c9fd6fd1cbc	27	99.767	429	1	0	1	429	632	1060	0	787	v
afb2f933b8a01130b7a8ad25a89d7ac7	33	100	404	0	0	1	404	317	720	0	747	v
b2e26279034c3680a50506122f05a516	29	99.576	236	0	1	1	235	340	575	5.15E-123	429	v
b450215123e7f617330c7ce4a3757508	345	98.044	409	8	0	1	409	340	748	0	712	v
b4a4948eb47646e849222ab9ac9f583f	2	97.519	403	10	0	2	404	296	698	0	689	v
b8573db111c30c47478e2693e0ca8968	105	99.767	430	1	0	1	430	360	789	0	789	v
bc0112a226e67df4681701fa8df11747	362	100	409	0	0	1	409	340	748	0	756	v
bf320b034885e112a7667ef0b538d567	314	99.531	426	2	0	1	426	301	726	0	776	v
c0a3b867dd817cb518e7aa262bf20d60	8	98.976	293	3	0	137	429	468	760	1.16E-151	525	v
c10f59e60de49d0cd4c3c8dac532c479	CL21	100	429	0	0	1	429	332	760	0	793	v
c31be2c7184ec38f2ed5ca452b90cdce	125	100	429	0	0	1	429	331	759	0	793	v
c341757418171ab0183f205c50ddefdc	41	99.767	429	1	0	1	429	360	788	0	787	v
c4ccbb142d6e834eb16a52a48c8f32bc	299	98.289	409	7	0	1	409	336	744	0	717	v
c62cf6fee777e84702eedfa064a9e1ef	181	99.065	428	4	0	1	428	349	776	0	769	v
c6f61b95201848ba396fcf8f9f393bd8	27	100	429	0	0	1	429	632	1060	0	793	v
cd7b67622c6952c9fb2ccd468f0caa5a	136	100	409	0	0	1	409	337	745	0	756	v
cfa21073013ad41cdda3057bbd4f6d6c	41	97.203	429	12	0	1	429	360	788	0	726	v
d68cb024d93391ff4c085872dfaab498	136	99.061	426	4	0	1	426	320	745	0	765	v
da7cd6c9a2fc7d0614bd5da03bf1e644	314	100	409	0	0	1	409	318	726	0	756	v
dfb4b23d1c7a0f30f1f79476f50201e0	CL69	100	430	0	0	1	430	314	743	0	795	v
e1b95d649f8d9121204a7a826337fb90	299	97.066	409	12	0	1	409	336	744	0	689	v
ef289d460d88b8bf99288c9ccafa3de4	29	100	409	0	0	1	409	340	748	0	756	v
f0ce834ed70957a266db8d0052ea4484	105	98.962	289	3	0	136	424	501	789	1.91E-149	518	v
f3209ec09158a6212f1aaa2827a3bc84	105	99.767	430	1	0	1	430	360	789	0	789	v
f4d390a1eec4fb988b1595fc8590adb4	314	99.756	409	1	0	1	409	318	726	0	750	v
f7f304664dddd3e8b3c3be217507c9bd	299	100	409	0	0	1	409	336	744	0	756	v
faffbb265034dc915495de3d18fc8546	345	100	409	0	0	1	409	340	748	0	756	v
fcad212ec9ca292f4e0f19dbad8caec4	27	99.534	429	2	0	1	429	632	1060	0	782	v
